x,y,z,h
399278.84618046804,6412060.05584556,71.86,12.024407099607267
399279.03020017716,6412065.084557073,73.67,13.88679018219473
399279.0272533996,6412069.730979737,73.36,13.549031777056847
399279.14092976745,6412074.431367251,71.52,11.816029627456729
399279.4144659159,6412080.200208009,73.79,14.130843787335735
399279.3881243544,6412085.174554228,74.3,14.665254053871251
