x,y,z,h,local_x,local_y,local_z
394015.84405359236,6450914.706744214,97.33698968224952,18.59,-39.410000000000004,-64.6,-22.37
393709.9191978264,6450754.628906817,97.30698968224952,18.56,-337.08,-239.55,-22.400000000000002
393696.07065061526,6450726.166392167,97.29698968224953,18.55,-349.51,-268.66,-22.41
393682.78035232954,6450740.498313584,97.24698968224953,18.5,-363.49,-255.0,-22.46
393884.6687080968,6450849.808211605,97.20698968224953,18.46,-167.23,-135.88,-22.5
393691.60143308324,6450737.460199968,97.18698968224953,18.44,-354.53000000000003,-257.6,-22.52
393644.58750543377,6450740.569348888,97.15698968224953,18.41,-401.64,-256.81,-22.55
393888.3694124688,6450837.751326141,97.14698968224953,18.400000000000002,-162.94,-147.74,-22.56
393631.28028545226,6450718.618075657,97.07698968224953,18.330000000000002,-413.85,-279.39,-22.63
393850.9050323784,6450853.205151701,96.95698968224953,18.21,-201.12,-134.15,-22.75
393727.2447471598,6450779.696063421,96.93698968224953,18.19,-321.01,-213.66,-22.77
393889.4363254704,6450851.875921591,96.86698968224952,18.12,-162.57,-133.58,-22.84
393982.00470363477,6450924.284911807,96.84698968224953,18.1,-73.68,-56.7,-22.86
394042.4226243304,6450936.764549578,96.84698968224953,18.1,-13.950000000000001,-41.26,-22.86
393683.63240971765,6450762.042493732,96.82698968224953,18.080000000000002,-363.7,-233.44,-22.88
393766.24430360633,6450764.106467629,96.81698968224953,18.07,-281.29,-227.31,-22.89
393709.3806525002,6450762.1845979765,96.75698968224953,18.01,-337.99,-232.03,-22.95
393661.8080517579,6450749.902584356,96.74698968224953,18.0,-384.90000000000003,-246.64000000000001,-22.96
393657.9601048677,6450748.820778118,96.73698968224953,17.990000000000002,-388.69,-247.91,-22.97
393718.5968768486,6450774.876111234,96.73698968224953,17.990000000000002,-329.41,-218.9,-22.97
394032.7219194476,6450924.197046854,96.73698968224953,17.990000000000002,-23.02,-54.29,-22.97
394050.4705921071,6450941.80431293,96.72698968224952,17.98,-6.16,-35.83,-22.98
393670.17519040714,6450725.881364758,96.71698968224953,17.97,-375.36,-270.22,-22.990000000000002
394019.8800036779,6450909.651844914,96.69698968224952,17.95,-35.13,-69.45,-23.01
394054.86950531363,6450944.110470472,96.69698968224952,17.95,-1.8800000000000001,-33.31,-23.01
393700.38913351076,6450742.273257333,96.61698968224952,17.87,-345.99,-252.36,-23.09
393634.8648465436,6450699.738631234,96.58698968224952,17.84,-409.34000000000003,-298.07,-23.12
393647.90996281395,6450736.070262648,96.58698968224952,17.84,-398.1,-261.14,-23.12
393710.8982987965,6450777.328231946,96.57698968224953,17.830000000000002,-337.22,-216.83,-23.13
393714.75688229385,6450779.641008066,96.57698968224953,17.830000000000002,-333.48,-214.33,-23.13
394037.5811213194,6450926.700775505,96.57698968224953,17.830000000000002,-18.29,-51.550000000000004,-23.13
393741.3755719253,6450792.76599806,96.54698968224953,17.8,-307.54,-199.91,-23.16
393713.50108023384,6450735.289035605,96.51698968224953,17.77,-332.55,-258.69,-23.19
393674.22543516994,6450727.613997832,96.48698968224953,17.740000000000002,-371.40000000000003,-268.29,-23.22
393649.41428127274,6450743.024615673,96.45698968224953,17.71,-396.94,-254.12,-23.25
393635.36463741073,6450714.341737378,96.39698968224953,17.650000000000002,-409.56,-283.46,-23.31
393757.0788179933,6450758.941588784,96.37698968224953,17.63,-290.19,-232.92000000000002,-23.330000000000002
393762.72513166454,6450814.160520698,96.36698968224952,17.62,-287.27,-177.49,-23.34
393692.174495746,6450745.021152236,96.29698968224953,17.55,-354.33,-250.02,-23.41
394063.25198360736,6450926.085771926,96.29698968224953,17.55,7.38,-50.9,-23.41
393783.2499817706,6450774.361403521,96.28698968224953,17.54,-264.81,-216.23000000000002,-23.42
393673.89371499466,6450721.292663975,96.22698968224952,17.48,-371.42,-274.62,-23.48
393673.7034223827,6450713.372424791,96.20698968224953,17.46,-371.22,-282.54,-23.5
393736.42078566446,6450790.557334865,96.17698968224953,17.43,-312.38,-202.36,-23.53
394041.6297379542,6450922.105810507,96.11698968224952,17.37,-14.02,-55.94,-23.59
393850.22850553034,6450845.779459045,96.10698968224952,17.36,-201.43,-141.6,-23.6
393621.78766271594,6450713.51938822,96.09698968224953,17.35,-423.08,-284.95,-23.61
393862.9825479062,6450853.060173507,96.09698968224953,17.35,-189.05,-133.7,-23.61
393717.7063273259,6450751.942140328,96.08698968224952,17.34,-329.17,-241.85,-23.62
393867.8322669463,6450862.072266785,96.08698968224952,17.34,-184.65,-124.46000000000001,-23.62
393884.12721206597,6450835.577611406,96.08698968224952,17.34,-167.07,-150.12,-23.62
393666.1170309479,6450737.795681433,96.07698968224953,17.330000000000002,-380.0,-258.52,-23.63
393639.6550234392,6450716.883525674,96.06698968224953,17.32,-405.40000000000003,-280.71,-23.64
393689.0162598329,6450764.830729361,96.05698968224952,17.31,-358.46,-230.39000000000001,-23.650000000000002
393754.1407127149,6450793.368061699,96.05698968224952,17.31,-294.82,-198.68,-23.650000000000002
393671.0670136907,6450754.932696076,96.04698968224953,17.3,-375.90000000000003,-241.16,-23.66
393819.2992672039,6450820.972582648,96.02698968224954,17.28,-231.1,-167.9,-23.68
393674.9911747535,6450742.534391353,96.01698968224953,17.27,-371.37,-253.35,-23.69
393705.8337060082,6450774.31399906,95.99698968224953,17.25,-342.13,-220.09,-23.71
393871.4165211164,6450835.673713375,95.99698968224953,17.25,-179.77,-150.65,-23.71
393867.8707716273,6450869.959941815,95.97698968224952,17.23,-185.0,-116.58,-23.73
394034.14417946717,6450938.624509428,95.97698968224952,17.23,-22.31,-39.81,-23.73
394059.2931503227,6450938.796162913,95.97698968224952,17.23,2.8000000000000003,-38.4,-23.73
393626.45255531976,6450724.062441717,95.94698968224952,17.2,-418.94,-274.19,-23.76
393638.55018891743,6450701.98986458,95.94698968224952,17.2,-405.77,-295.64,-23.76
393796.9747989097,6450780.212573875,95.92698968224953,17.18,-251.39000000000001,-209.71,-23.78
393626.4907698451,6450709.202527864,95.91698968224952,17.17,-418.17,-289.03000000000003,-23.79
393881.0094368673,6450840.166726552,95.91698968224952,17.17,-170.41,-145.69,-23.79
393932.5410354764,6450869.184072137,95.91698968224952,17.17,-120.37,-114.17,-23.79
394033.86691745935,6450961.225589621,95.91698968224952,17.17,-23.7,-17.25,-23.79
393679.7756580493,6450759.969918866,95.89698968224953,17.150000000000002,-367.45,-235.70000000000002,-23.81
393897.5439484189,6450835.586865446,95.89698968224953,17.150000000000002,-153.67000000000002,-149.45000000000002,-23.81
393630.65511540073,6450712.030871212,95.87698968224953,17.13,-414.15000000000003,-286.0,-23.830000000000002
393670.3768227727,6450740.52920912,95.86698968224952,17.12,-375.88,-255.58,-23.84
393954.88884045783,6450881.1780253025,95.85698968224952,17.11,-98.64,-101.09,-23.85
393906.35031591664,6450848.088333021,95.84698968224953,17.1,-145.49,-136.53,-23.86
394002.7534651693,6450936.337687204,95.84698968224953,17.1,-53.550000000000004,-43.64,-23.86
394046.15781535784,6450931.904698964,95.84698968224953,17.1,-9.98,-45.93,-23.86
393669.1124460973,6450718.74504396,95.83698968224952,17.09,-376.07,-277.40000000000003,-23.87
393700.923351041,6450764.884385382,95.83698968224952,17.09,-346.57,-229.75,-23.87
393796.9705743336,6450823.98589888,95.83698968224952,17.09,-253.55,-165.99,-23.87
393661.4275153498,6450743.403438869,95.82698968224953,17.080000000000002,-384.96000000000004,-253.15,-23.88
393776.70650958084,6450812.21960041,95.80698968224952,17.06,-273.21,-178.74,-23.900000000000002
393779.49169128755,6450771.442953138,95.80698968224952,17.06,-268.42,-219.33,-23.900000000000002
393682.93236905395,6450747.439249464,95.79698968224953,17.05,-363.68,-248.06,-23.91
393758.40307441493,6450788.031670338,95.79698968224953,17.05,-290.3,-203.8,-23.91
393739.58151891374,6450756.990941472,95.78698968224953,17.04,-307.57,-235.73000000000002,-23.92
394072.23399467237,6450939.509708652,95.77698968224954,17.03,15.69,-37.050000000000004,-23.93
393678.89552888647,6450737.856430386,95.76698968224953,17.02,-367.24,-257.83,-23.94
393963.8047465701,6450923.109810599,95.76698968224953,17.02,-91.8,-58.77,-23.94
393645.44001208176,6450747.706024053,95.75698968224953,17.01,-401.14,-249.64000000000001,-23.95
393649.71400791005,6450750.11846258,95.75698968224953,17.01,-396.99,-247.02,-23.95
393872.8523977599,6450864.387841577,95.75698968224953,17.01,-179.75,-121.9,-23.95
393665.4222220781,6450730.811424807,95.74698968224953,17.0,-380.35,-265.53000000000003,-23.96
393688.0273872448,6450742.542384178,95.74698968224953,17.0,-358.35,-252.70000000000002,-23.96
393652.19593744114,6450701.567316088,95.73698968224953,16.990000000000002,-392.12,-295.39,-23.97
393678.6330750274,6450730.300186746,95.73698968224953,16.990000000000002,-367.13,-265.39,-23.97
393719.3877932758,6450789.494898846,95.73698968224953,16.990000000000002,-329.34000000000003,-204.26,-23.97
394051.32748369436,6450956.339750209,95.72698968224952,16.98,-6.0200000000000005,-21.27,-23.98
394016.7972815305,6450943.785084201,95.71698968224953,16.97,-39.89,-35.51,-23.990000000000002
394046.6122374032,6450946.399908538,95.70698968224953,16.96,-10.24,-31.43,-24.0
393700.61481129803,6450728.575521406,95.69698968224952,16.95,-345.09000000000003,-266.03000000000003,-24.01
393704.6732902245,6450730.6781979855,95.68698968224953,16.94,-341.14,-263.73,-24.02
393669.21743519086,6450711.330876624,95.67698968224953,16.93,-375.6,-284.8,-24.03
393892.9702691808,6450840.498072856,95.67698968224953,16.93,-158.48,-144.77,-24.03
393642.73295461485,6450704.176522104,95.64698968224953,16.9,-401.7,-293.25,-24.060000000000002
393678.3875513019,6450715.574409411,95.64698968224953,16.9,-366.65000000000003,-280.11,-24.060000000000002
393954.62107382814,6450903.76862514,95.63698968224952,16.89,-100.02,-78.54,-24.07
393664.9042873091,6450716.449504895,95.62698968224953,16.88,-380.16,-279.90000000000003,-24.080000000000002
393690.5986940936,6450730.931661501,95.62698968224953,16.88,-355.21,-264.17,-24.080000000000002
394046.4407374352,6450939.469945497,95.62698968224953,16.88,-10.07,-38.36,-24.080000000000002
393661.48410257057,6450735.210710514,95.61698968224952,16.87,-384.5,-261.33,-24.09
393697.1068703016,6450776.826833822,95.60698968224952,16.86,-350.97,-218.01,-24.1
393688.00913453463,6450734.25322458,95.59698968224953,16.85,-357.96,-260.98,-24.11
393656.33167128876,6450711.125234562,95.58698968224952,16.84,-388.46000000000004,-285.64,-24.12
393743.8327696539,6450751.8353166655,95.58698968224952,16.84,-303.07,-240.67000000000002,-24.12
393879.61807797226,6450833.066633565,95.58698968224952,16.84,-171.45000000000002,-152.85,-24.12
393640.4602345435,6450738.289845652,95.57698968224953,16.830000000000002,-405.65000000000003,-259.29,-24.13
393872.0093264974,6450858.051673108,95.57698968224953,16.830000000000002,-180.28,-128.27,-24.13
393627.3448878559,6450737.895280999,95.56698968224953,16.82,-418.73,-260.33,-24.14
393749.87785852765,6450798.694465193,95.56698968224953,16.82,-299.34000000000003,-193.57,-24.14
393858.54208442156,6450835.697792219,95.56698968224953,16.82,-192.63,-151.26,-24.14
393666.29212066584,6450722.868945566,95.53698968224953,16.79,-379.09000000000003,-273.42,-24.17
